Designator,Mid X,Mid Y,Rotation,Layer
C1,106.8865,28.6684,0.0,bottom
C10,19.3162,10.0044,180.0,top
C11,76.8615,14.078701,180.0,top
C12,13.924,12.600779,270.0,top
C13,80.3615,14.078701,0.0,top
C14,8.6067,14.0986,180.0,top
C15,8.6067,12.0412,180.0,top
C16,8.6067,10.0092,180.0,top
C17,8.5865,15.9684,180.0,top
C18,30.324,18.600779,270.0,top
C19,120.624,35.2184,270.0,top
C2,106.8865,30.9684,0.0,bottom
C20,29.544,32.7684,180.0,top
C21,29.544,30.7684,180.0,top
C22,113.424,29.707101,180.0,top
C23,109.018602,29.707101,0.0,top
C24,102.618902,29.707101,0.0,top
C25,97.386502,29.707101,0.0,top
C26,91.439326,29.73192,180.0,top
C27,85.648126,29.73192,0.0,top
C28,80.2651,29.73192,0.0,top
C29,74.522926,29.73192,0.0,top
C3,107.488402,24.157201,180.0,top
C30,87.779402,12.298701,270.0,top
C31,51.8392,3.4032,90.0,top
C32,62.0615,19.1684,0.0,top
C33,40.4746,2.2543,270.0,top
C34,58.1615,19.1684,180.0,top
C35,50.1615,6.4684,0.0,bottom
C36,54.624,6.4684,180.0,bottom
C37,45.224,28.9684,270.0,top
C38,83.8365,20.5684,0.0,top
C39,55.924,21.3684,90.0,top
C4,110.9615,27.8684,0.0,top
C40,6.299,72.0684,180.0,top
C41,6.024,61.3684,0.0,top
C42,6.299,70.4684,0.0,top
C43,110.624,23.9684,0.0,top
C44,110.624,24.9684,0.0,top
C45,30.024,34.3684,180.0,top
C46,69.5865,19.4684,0.0,top
C47,72.9865,19.4684,0.0,top
C48,19.304,15.6684,180.0,top
C49,8.604,17.2684,180.0,top
C5,19.324,14.1684,180.0,top
C50,6.9315,73.4184,0.0,top
C6,110.9615,26.2684,0.0,top
C7,107.2865,27.4684,180.0,top
C8,19.324,12.0684,180.0,top
C9,70.154,39.0909,270.0,top
D1,71.224,7.7684,0.0,top
D10,43.8984,7.577896,90.0,top
D11,45.524,7.577896,90.0,top
D12,47.1496,7.577896,90.0,top
D13,110.0582,1.8542,270.0,top
D14,6.0365,65.3684,180.0,top
D15,6.374,67.2684,180.0,top
D2,30.524,2.0184,90.0,top
D3,32.624,2.0184,90.0,top
D4,56.174,2.8684,0.0,top
D5,35.7704,7.577796,90.0,top
D6,37.396,7.577896,90.0,top
D7,39.0216,7.577896,90.0,top
D8,40.6472,7.577896,90.0,top
D9,42.2728,7.577896,90.0,top
F1,18.156,63.7032,270.0,top
F10,29.6593,64.4755,90.0,top
F11,34.6123,64.4755,90.0,top
F12,39.5323,64.4755,90.0,top
F13,44.5323,64.4755,90.0,top
F14,53.0738,64.389,90.0,top
F15,58.0268,64.389,90.0,top
F16,63.1068,64.389,90.0,top
F17,68.0598,64.389,90.0,top
F2,91.2864,64.4925,90.0,top
F3,86.2572,64.4925,90.0,top
F4,81.228,64.4925,90.0,top
F5,76.2496,64.4925,90.0,top
F6,114.6048,64.4906,90.0,top
F7,109.6264,64.4906,90.0,top
F8,104.6218,64.4906,90.0,top
F9,99.6218,64.52,90.0,top
G10,3.374,56.9684,90.0,top
G4,34.124,7.4684,270.0,top
G5,112.9792,53.3908,0.0,bottom
J1,17.574,4.8187,90.0,top
J10,102.699402,1.808701,90.0,top
J11,89.1998,6.5786,90.0,top
J12,88.994,19.5684,90.0,top
J13,84.039402,12.653701,0.0,top
J14,86.554,23.3684,270.0,top
J15,37.1918,76.236,180.0,top
J16,60.5598,76.236,180.0,top
J17,66.274,31.8884,0.0,top
J19,70.174,31.8984,0.0,top
J2,17.644,76.212401,180.0,top
J3,78.605402,3.092801,0.0,top
J4,10.174,4.8187,90.0,top
J5,23.674,4.1784,0.0,top
J6,107.121702,76.240201,180.0,top
J7,83.764,76.240201,180.0,top
J8,45.624,2.4684,270.0,top
J9,56.124,9.7684,0.0,top
K1,31.8183,47.5845,90.0,top
K2,36.6443,47.5845,90.0,top
K3,41.4703,47.5845,90.0,top
K4,46.4233,47.5845,90.0,top
K5,52.911,47.5845,90.0,top
K6,57.991,47.5845,90.0,top
K7,63.071,47.5845,90.0,top
K8,68.024,47.5845,90.0,top
PS1,13.78,37.4218,0.0,top
R1,107.500902,25.681201,0.0,top
R10,86.2572,56.0069,270.0,top
R11,81.228,56.0069,270.0,top
R12,76.275,56.0069,270.0,top
R13,114.6162,55.9826,270.0,top
R14,109.6378,55.9826,270.0,top
R15,104.5832,55.9826,270.0,top
R16,99.6442,55.9328,270.0,top
R17,90.271002,10.795,0.0,top
R18,90.271002,9.271,0.0,top
R19,81.228,47.9551,270.0,top
R2,85.9442,3.0684,0.0,top
R20,76.275,47.9551,270.0,top
R21,91.2864,47.9551,270.0,top
R22,86.2572,47.9551,270.0,top
R23,114.6162,47.8546,270.0,top
R24,109.6378,47.8546,270.0,top
R25,104.5832,47.8506,270.0,top
R26,99.6442,47.8028,270.0,top
R27,113.424,31.231101,0.0,top
R28,109.017802,31.231101,0.0,top
R29,102.618902,31.231101,0.0,top
R3,75.839402,11.228701,90.0,top
R30,97.386502,31.231101,0.0,top
R31,91.442326,31.25592,0.0,top
R32,85.651126,31.25592,0.0,top
R33,80.264426,31.2674,0.0,top
R34,74.524026,31.25592,0.0,top
R35,72.974,17.8684,0.0,top
R36,69.5365,17.8684,0.0,top
R37,62.024,17.1684,180.0,top
R38,58.124,17.1684,0.0,top
R39,61.124,31.4684,270.0,top
R4,81.309402,11.208701,90.0,top
R40,59.634,31.4684,270.0,top
R41,58.124,31.4684,270.0,top
R42,56.624,31.4684,270.0,top
R43,55.124,31.4684,270.0,top
R44,61.5719,1.0516,0.0,top
R45,35.7704,10.879896,90.0,top
R46,37.396,10.877996,90.0,top
R47,39.0216,10.877996,90.0,top
R48,40.6472,10.877996,90.0,top
R49,42.2728,10.877996,90.0,top
R5,89.629402,16.988701,180.0,top
R50,43.8984,10.879896,90.0,top
R51,45.524,10.879896,90.0,top
R52,47.1496,10.879896,90.0,top
R53,108.1024,1.8542,90.0,top
R54,6.249,68.8684,180.0,top
R55,6.0615,63.3684,180.0,top
R56,53.624,31.4684,270.0,top
R57,52.124,31.4684,270.0,top
R58,50.574,31.4684,270.0,top
R6,89.629402,15.513701,180.0,top
R60,67.1115,18.5309,270.0,top
R61,65.124,18.5559,90.0,top
R62,63.724,14.4809,90.0,top
R7,28.524,2.0684,90.0,top
R8,34.624,2.0684,90.0,top
R9,91.2864,56.0069,270.0,top
RV1,14.3764,56.188665,0.0,top
SW1,23.524,16.8684,180.0,top
SW2,68.771,13.1184,0.0,top
SW3,68.7698,3.9158,0.0,top
U1,15.7827,17.7292,0.0,top
U10,61.9865,3.5916,0.0,top
U11,38.044,27.3184,0.0,top
U12,60.2615,24.3934,90.0,top
U14,53.874,15.6184,180.0,top
U2,78.609402,11.238701,270.0,top
U3,102.979402,13.598701,270.0,top
U4,111.703178,37.422282,270.0,top
U5,100.019178,37.422282,270.0,top
U6,88.5713,37.4188,270.0,top
U7,77.3953,37.4188,270.0,top
U8,90.389402,12.605101,180.0,top
U9,69.9365,24.3934,90.0,top
